city;tid;link_A;link_B
Olomouc;A035;https://www.google.cz/maps/place/49%C2%B034'13.7%22N+17%C2%B014'04.7%22E/@49.570474,17.2324583,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.570474!4d17.234647;https://www.google.cz/maps/place/49%C2%B034'20.3%22N+17%C2%B014'07.8%22E/@49.572311,17.2333063,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.572311!4d17.235495
Olomouc;A036;https://www.google.cz/maps/place/49%C2%B033'56.6%22N+17%C2%B016'46.8%22E/@49.565722,17.2774813,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.565722!4d17.27967;https://www.google.cz/maps/place/49%C2%B034'08.6%22N+17%C2%B016'45.3%22E/@49.569048,17.2770733,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.569048!4d17.279262
;;;
Ostrava;A037;https://www.google.cz/maps/place/49%C2%B051'03.4%22N+18%C2%B014'12.1%22E/@49.850952,18.2348435,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.850952!4d18.236684;https://www.google.cz/maps/place/49%C2%B050'59.2%22N+18%C2%B014'09.6%22E/@49.849769,18.2338033,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.849769!4d18.235992
Ostrava;A038;https://www.google.cz/maps/place/49%C2%B051'23.6%22N+18%C2%B016'01.1%22E/@49.856567,18.2647723,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.856567!4d18.266961;https://www.google.cz/maps/place/49%C2%B051'18.7%22N+18%C2%B015'51.8%22E/@49.855197,18.2621973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.855197!4d18.264386
Ostrava;A039;https://www.google.cz/maps/place/49%C2%B051'03.7%22N+18%C2%B018'06.0%22E/@49.85103,18.2994873,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.85103!4d18.301676;https://www.google.cz/maps/place/49%C2%B050'57.1%22N+18%C2%B018'06.0%22E/@49.849204,18.2994873,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.849204!4d18.301676
Ostrava;A040;https://www.google.cz/maps/place/49%C2%B050'30.0%22N+18%C2%B016'47.8%22E/@49.841676,18.2777543,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.841676!4d18.279943;https://www.google.cz/maps/place/49%C2%B050'23.0%22N+18%C2%B016'52.6%22E/@49.839732,18.2790743,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.839732!4d18.281263
Ostrava;A041;https://www.google.cz/maps/place/49%C2%B049'36.8%22N+18%C2%B016'02.3%22E/@49.826878,18.2651083,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.826878!4d18.267297;https://www.google.cz/maps/place/49%C2%B049'30.3%22N+18%C2%B016'07.3%22E/@49.825085,18.2664923,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.825085!4d18.268681
Ostrava;A042;https://www.google.cz/maps/place/49%C2%B049'45.4%22N+18%C2%B018'04.5%22E/@49.829263,18.2994075,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.829263!4d18.301248;https://www.google.cz/maps/place/49%C2%B049'39.5%22N+18%C2%B018'04.2%22E/@49.82763,18.2989783,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.82763!4d18.301167
Ostrava;A043;https://www.google.cz/maps/place/49%C2%B049'39.2%22N+18%C2%B019'28.9%22E/@49.827551,18.3224973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.827551!4d18.324686;https://www.google.cz/maps/place/49%C2%B049'45.2%22N+18%C2%B019'32.5%22E/@49.829233,18.3234953,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.829233!4d18.325684
Ostrava;A044;https://www.google.cz/maps/place/49%C2%B048'01.6%22N+18%C2%B018'14.6%22E/@49.800446,18.3018673,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.800446!4d18.304056;https://www.google.cz/maps/place/49%C2%B047'53.9%22N+18%C2%B018'14.6%22E/@49.798318,18.3018693,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.798318!4d18.304058
Ostrava;A045;https://www.google.cz/maps/place/49%C2%B047'17.1%22N+18%C2%B015'26.7%22E/@49.788084,18.2552133,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.788084!4d18.257402;https://www.google.cz/maps/place/49%C2%B047'19.2%22N+18%C2%B015'36.3%22E/@49.788659,18.2579063,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.788659!4d18.260095
Ostrava;A046;https://www.google.cz/maps/place/49%C2%B046'46.3%22N+18%C2%B016'43.6%22E/@49.779527,18.2765913,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.779527!4d18.27878;https://www.google.cz/maps/place/49%C2%B046'44.0%22N+18%C2%B016'30.1%22E/@49.77889,18.2728473,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.77889!4d18.275036
Ostrava;A047;https://www.google.cz/maps/place/49%C2%B049'05.6%22N+18%C2%B012'05.9%22E/@49.818211,18.1994423,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.818211!4d18.201631;https://www.google.cz/maps/place/49%C2%B049'11.2%22N+18%C2%B012'15.6%22E/@49.819775,18.2021353,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.819775!4d18.204324
Ostrava;A048;https://www.google.cz/maps/place/49%C2%B049'40.4%22N+18%C2%B009'56.7%22E/@49.827876,18.1635513,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.827876!4d18.16574;https://www.google.cz/maps/place/49%C2%B049'37.3%22N+18%C2%B010'08.9%22E/@49.827039,18.1669413,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.827039!4d18.16913
;;;
Hradec Král.;A049;https://www.google.cz/maps/place/50%C2%B014'08.7%22N+15%C2%B050'57.8%22E/@50.235743,15.8472053,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.235743!4d15.849394;https://www.google.cz/maps/place/50%C2%B014'12.1%22N+15%C2%B050'41.8%22E/@50.23669,15.8427423,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.23669!4d15.844931
Hradec Král.;A050;https://www.google.cz/maps/place/50%C2%B013'50.0%22N+15%C2%B050'55.8%22E/@50.230549,15.8466453,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.230549!4d15.848834;https://www.google.cz/maps/place/50%C2%B013'46.9%22N+15%C2%B051'03.6%22E/@50.229691,15.8488123,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.229691!4d15.851001
Hradec Král.;A051;https://www.google.cz/maps/place/50%C2%B013'15.3%22N+15%C2%B050'33.9%22E/@50.220917,15.8405563,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.220917!4d15.842745;https://www.google.cz/maps/place/50%C2%B013'15.0%22N+15%C2%B050'44.5%22E/@50.220835,15.8434963,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.220835!4d15.845685
Hradec Král.;A052;https://www.google.cz/maps/place/50%C2%B013'01.7%22N+15%C2%B049'58.7%22E/@50.217134,15.8307923,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.217134!4d15.832981;https://www.google.cz/maps/place/50%C2%B012'53.0%22N+15%C2%B049'56.6%22E/@50.2159686,15.830886,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d50.214726!4d15.832388
Hradec Král.;A053;https://www.google.cz/maps/place/50%C2%B012'49.9%22N+15%C2%B048'44.4%22E/@50.21387,15.8104855,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.21387!4d15.812326;https://www.google.cz/maps/place/50%C2%B012'48.9%22N+15%C2%B048'54.9%22E/@50.213575,15.8130713,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.213575!4d15.81526
Hradec Král.;A054;https://www.google.cz/maps/place/50%C2%B012'12.2%22N+15%C2%B048'45.0%22E/@50.203383,15.8109874,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.203383!4d15.812491;https://www.google.cz/maps/place/50%C2%B012'11.9%22N+15%C2%B048'54.5%22E/@50.203307,15.8129403,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.203307!4d15.815129
Hradec Král.;A055;https://www.google.cz/maps/place/50%C2%B012'26.8%22N+15%C2%B050'09.0%22E/@50.207453,15.8339925,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.207453!4d15.835833;https://www.google.cz/maps/place/50%C2%B012'31.8%22N+15%C2%B050'15.2%22E/@50.20884,15.8353763,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.20884!4d15.837565
Hradec Král.;A056;https://www.google.cz/maps/place/50%C2%B012'20.2%22N+15%C2%B051'11.5%22E/@50.205615,15.8510163,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.205615!4d15.853205;https://www.google.cz/maps/place/50%C2%B012'22.6%22N+15%C2%B051'22.5%22E/@50.206267,15.8540523,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.206267!4d15.856241
Hradec Král.;A057;https://www.google.cz/maps/place/50%C2%B011'56.8%22N+15%C2%B051'51.2%22E/@50.19912,15.8620303,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.19912!4d15.864219;https://www.google.cz/maps/place/50%C2%B011'56.4%22N+15%C2%B051'59.3%22E/@50.198996,15.8642833,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.198996!4d15.866472
Hradec Král.;A058;https://www.google.cz/maps/place/50%C2%B011'23.3%22N+15%C2%B049'59.6%22E/@50.189807,15.8310293,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.189807!4d15.833218;https://www.google.cz/maps/place/50%C2%B011'29.2%22N+15%C2%B050'04.7%22E/@50.191435,15.8324563,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.191435!4d15.834645
Hradec Král.;A059;https://www.google.cz/maps/place/50%C2%B011'32.3%22N+15%C2%B050'57.7%22E/@50.192316,15.8471743,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.192316!4d15.849363;https://www.google.cz/maps/place/50%C2%B011'34.1%22N+15%C2%B051'08.4%22E/@50.192817,15.8501353,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.192817!4d15.852324
Hradec Král.;A060;https://www.google.cz/maps/place/50%C2%B011'05.7%22N+15%C2%B050'48.7%22E/@50.184929,15.8446743,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.184929!4d15.846863;https://www.google.cz/maps/place/50%C2%B011'02.3%22N+15%C2%B050'54.3%22E/@50.183967,15.8462403,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.183967!4d15.848429
;;;
È. Budìjovice;A061;https://www.google.cz/maps/place/48%C2%B059'54.3%22N+14%C2%B028'41.7%22E/@48.998413,14.4768802,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d48.998413!4d14.478259;https://www.google.cz/maps/place/48%C2%B059'55.1%22N+14%C2%B028'50.7%22E/@48.998638,14.4785543,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d48.998638!4d14.480743
È. Budìjovice;A062;https://www.google.cz/maps/place/48%C2%B059'26.1%22N+14%C2%B028'06.1%22E/@48.990584,14.4661723,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d48.990584!4d14.468361;https://www.google.cz/maps/place/48%C2%B059'22.0%22N+14%C2%B028'19.5%22E/@48.989443,14.4698953,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d48.989443!4d14.472084
